,Альбина,Рамиль Единственный,Ильназ Фазлиахметов,Фарид Гайнуллин,альберт самигуллин,Марат Мухаметшин,Марат Файзерахманов,Фаррахова Лилия,Мансур Сайхунов,Мансур Хазеев,Миляуша Гараева,Айгуль Ахметзянова ,Марат Вильданов,w1,w2
мәхәббәт        мөнәсәбәт,6.66,3.33,3.33,3.33,10.00,10.00,3.33,10.00,6.66,6.66,0.00,6.66,3.33,мәхәббәт,мөнәсәбәт
хоккей	ярымфинал,10.00,10.00,10.00,10.00,10.00,10.00,6.66,10.00,10.00,10.00,6.66,3.33,3.33,хоккей,ярымфинал
уен	җиңү,10.00,10.00,10.00,6.66,10.00,10.00,10.00,6.66,10.00,10.00,6.66,3.33,10.00,уен,җиңү
уен	төркем,10.00,6.66,10.00,3.33,6.66,10.00,10.00,6.66,6.66,10.00,6.66,0.00,10.00,уен,төркем
уен	мәзәк,6.66,3.33,0.00,0.00,10.00,3.33,3.33,6.66,3.33,10.00,0.00,3.33,3.33,уен,мәзәк
уен	җиңелү,10.00,10.00,10.00,6.66,10.00,10.00,10.00,6.66,10.00,10.00,6.66,3.33,6.66,уен,җиңелү
колхоз	хыял,3.33,0.00,0.00,0.00,0.00,6.66,0.00,0.00,0.00,3.33,0.00,0.00,0.00,колхоз,хыял
балыкчылык	диңгез,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,6.66,10.00,6.66,3.33,10.00,балыкчылык,диңгез
ризык	хәзерләү,10.00,10.00,6.66,10.00,10.00,10.00,3.33,10.00,6.66,10.00,3.33,0.00,3.33,ризык,хәзерләү
видео	архив,10.00,10.00,6.66,10.00,10.00,10.00,10.00,6.66,10.00,10.00,6.66,0.00,3.33,видео,архив
старт	ел,3.33,3.33,3.33,3.33,3.33,3.33,6.66,0.00,3.33,10.00,0.00,0.00,6.66,старт,ел
старт	матч,6.66,10.00,6.66,10.00,10.00,6.66,10.00,3.33,6.66,10.00,6.66,3.33,6.66,старт,матч
уен	кагыйдәләр,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,6.66,0.00,6.66,уен,кагыйдәләр
бокс	сугу,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,6.66,3.33,10.00,бокс,сугу
көрәшү	җиңелү,6.66,10.00,10.00,10.00,6.66,10.00,10.00,6.66,10.00,10.00,6.66,0.00,6.66,көрәшү,җиңелү
чират	бурыч,3.33,0.00,0.00,3.33,0.00,0.00,3.33,0.00,0.00,6.66,0.00,0.00,0.00,чират,бурыч
көн	җәй,6.66,6.66,3.33,10.00,10.00,10.00,6.66,10.00,6.66,10.00,3.33,0.00,3.33,көн,җәй
җәй	корылык,10.00,10.00,10.00,10.00,10.00,10.00,6.66,6.66,6.66,10.00,3.33,0.00,6.66,җәй,корылык
җәй	табигать,6.66,6.66,6.66,10.00,6.66,10.00,10.00,6.66,10.00,10.00,3.33,3.33,3.33,җәй,табигать
көн	таң,6.66,10.00,6.66,10.00,6.66,3.33,10.00,10.00,10.00,10.00,3.33,3.33,6.66,көн,таң
табигать	әйләнә-тирә,10.00,3.33,6.66,10.00,10.00,6.66,6.66,10.00,10.00,10.00,6.66,6.66,10.00,табигать,әйләнә-тирә
әйләнә-тирә	экология,10.00,3.33,6.66,10.00,6.66,10.00,10.00,10.00,10.00,10.00,6.66,6.66,10.00,әйләнә-тирә,экология
табигать	кеше,6.66,10.00,3.33,10.00,6.66,6.66,3.33,6.66,6.66,6.66,3.33,3.33,6.66,табигать,кеше
драма	түгәрәк,6.66,3.33,6.66,3.33,10.00,6.66,10.00,6.66,3.33,3.33,6.66,0.00,6.66,драма,түгәрәк
тормыш	дәрес,6.66,10.00,3.33,6.66,10.00,3.33,3.33,0.00,3.33,6.66,3.33,0.00,3.33,тормыш,дәрес
максат	тормыш,6.66,10.00,0.00,10.00,3.33,10.00,6.66,6.66,6.66,6.66,3.33,0.00,3.33,максат,тормыш
җитештерү	төркем,6.66,3.33,0.00,0.00,3.33,3.33,0.00,3.33,3.33,10.00,0.00,0.00,0.00,җитештерү,төркем
телевизор	фильм,6.66,10.00,6.66,10.00,10.00,6.66,10.00,10.00,10.00,10.00,3.33,0.00,6.66,телевизор,фильм
каршылык	талашу,10.00,10.00,6.66,10.00,10.00,10.00,6.66,10.00,6.66,10.00,3.33,3.33,6.66,каршылык,талашу
караучы	сайлау,3.33,10.00,0.00,3.33,0.00,0.00,10.00,0.00,0.00,3.33,0.00,3.33,6.66,караучы,сайлау
мөмкинлек	кыз,3.33,0.00,0.00,0.00,0.00,3.33,0.00,0.00,0.00,6.66,0.00,0.00,0.00,мөмкинлек,кыз
халык	үсеш,3.33,3.33,0.00,0.00,6.66,3.33,3.33,6.66,3.33,0.00,3.33,0.00,3.33,халык,үсеш
әхлак	мөһимлек,3.33,0.00,3.33,0.00,6.66,6.66,0.00,3.33,0.00,6.66,0.00,0.00,0.00,әхлак,мөһимлек
әхлак	өйләнү,10.00,0.00,3.33,0.00,6.66,6.66,0.00,3.33,0.00,6.66,0.00,0.00,3.33,әхлак,өйләнү
җенес	тигезлек,3.33,6.66,6.66,3.33,6.66,0.00,6.66,6.66,6.66,10.00,3.33,0.00,0.00,җенес,тигезлек
үзгәреш	мөнәсәбәт,6.66,6.66,0.00,0.00,3.33,3.33,0.00,6.66,0.00,3.33,0.00,0.00,0.00,үзгәреш,мөнәсәбәт
гаилә	планлаштыру,6.66,6.66,6.66,3.33,10.00,6.66,6.66,10.00,6.66,10.00,3.33,0.00,3.33,гаилә,планлаштыру
опера	сәнәгать,3.33,0.00,0.00,10.00,10.00,10.00,10.00,0.00,0.00,0.00,6.66,3.33,0.00,опера,сәнәгать
шикәр	ысул,3.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,шикәр,ысул
куллану	оешма,3.33,0.00,0.00,0.00,3.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,куллану,оешма
министрлык	мәдәният,6.66,10.00,0.00,3.33,10.00,6.66,10.00,6.66,3.33,6.66,6.66,3.33,0.00,министрлык,мәдәният
мәсьәлә	кыенлык,10.00,10.00,10.00,6.66,6.66,6.66,6.66,6.66,3.33,6.66,3.33,3.33,3.33,мәсьәлә,кыенлык
дан	танылу,10.00,10.00,10.00,10.00,6.66,10.00,10.00,10.00,6.66,10.00,10.00,6.66,10.00,дан,танылу
ил	гражданин,6.66,10.00,10.00,10.00,10.00,10.00,10.00,10.00,6.66,10.00,6.66,3.33,6.66,ил,гражданин
планета	кешеләр,6.66,10.00,10.00,10.00,10.00,10.00,10.00,6.66,3.33,6.66,6.66,0.00,6.66,планета,кешеләр
үсеш	мәсьәлә,3.33,0.00,0.00,3.33,3.33,6.66,3.33,3.33,3.33,0.00,0.00,0.00,0.00,үсеш,мәсьәлә
тәҗрибә	музыка,0.00,3.33,0.00,3.33,3.33,0.00,0.00,6.66,3.33,6.66,0.00,0.00,0.00,тәҗрибә,музыка
музыка	проект,3.33,6.66,0.00,3.33,6.66,6.66,6.66,6.66,6.66,3.33,3.33,0.00,3.33,музыка,проект
мөмкинлек	ышаныч,3.33,0.00,0.00,0.00,3.33,6.66,0.00,0.00,3.33,6.66,0.00,0.00,0.00,мөмкинлек,ышаныч
күргәзмә	истәлек,10.00,3.33,3.33,3.33,6.66,0.00,6.66,6.66,6.66,3.33,0.00,0.00,0.00,күргәзмә,истәлек
концерт	оста,6.66,3.33,0.00,6.66,6.66,6.66,6.66,3.33,6.66,10.00,0.00,0.00,0.00,концерт,оста
күзәтү	архитектура,10.00,10.00,0.00,3.33,3.33,6.66,3.33,6.66,0.00,3.33,0.00,0.00,0.00,күзәтү,архитектура
галәм	дөнья,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,6.66,10.00,галәм,дөнья
саклау	дөнья,6.66,10.00,10.00,3.33,6.66,3.33,0.00,6.66,0.00,6.66,0.00,0.00,3.33,саклау,дөнья
керү	билет,10.00,10.00,6.66,10.00,10.00,10.00,10.00,10.00,6.66,10.00,6.66,0.00,6.66,керү,билет
яңгыр	ташкын,10.00,10.00,0.00,10.00,10.00,10.00,3.33,10.00,6.66,10.00,3.33,0.00,6.66,яңгыр,ташкын
һава	дым,10.00,10.00,0.00,10.00,10.00,10.00,6.66,10.00,6.66,10.00,3.33,3.33,3.33,һава,дым
һәлакәт	өлкә,6.66,3.33,0.00,0.00,3.33,3.33,0.00,6.66,3.33,0.00,0.00,0.00,0.00,һәлакәт,өлкә
хаким	вазифа,10.00,10.00,6.66,10.00,6.66,0.00,3.33,6.66,3.33,10.00,6.66,0.00,0.00,хаким,вазифа
архитектура	гасыр,6.66,10.00,3.33,10.00,6.66,6.66,6.66,10.00,0.00,10.00,6.66,0.00,0.00,архитектура,гасыр
